Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-21T00:00+01:00;2022-01-22T00:00+01:00;21.01.2022;2;98;100;24;24;0;98;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-21T00:00+01:00;2022-01-22T00:00+01:00;21.01.2022;Totalt i retning Rundkjøring-Fv862-Langnesbakken;45;100;24;24;0;45;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-21T00:00+01:00;2022-01-22T00:00+01:00;21.01.2022;Totalt i retning Vervarslinga i Nord-Norge;98;100;24;24;0;98;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-21T00:00+01:00;2022-01-22T00:00+01:00;21.01.2022;Totalt;143;100;24;24;0;143;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-22T00:00+01:00;2022-01-23T00:00+01:00;22.01.2022;1;12;100;24;24;0;12;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-22T00:00+01:00;2022-01-23T00:00+01:00;22.01.2022;2;51;100;24;24;0;51;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-22T00:00+01:00;2022-01-23T00:00+01:00;22.01.2022;Totalt i retning Rundkjøring-Fv862-Langnesbakken;12;100;24;24;0;12;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-22T00:00+01:00;2022-01-23T00:00+01:00;22.01.2022;Totalt i retning Vervarslinga i Nord-Norge;51;100;24;24;0;51;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-22T00:00+01:00;2022-01-23T00:00+01:00;22.01.2022;Totalt;63;100;24;24;0;63;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-23T00:00+01:00;2022-01-24T00:00+01:00;23.01.2022;1;8;100;24;24;0;8;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-23T00:00+01:00;2022-01-24T00:00+01:00;23.01.2022;2;28;100;24;24;0;28;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-23T00:00+01:00;2022-01-24T00:00+01:00;23.01.2022;Totalt i retning Rundkjøring-Fv862-Langnesbakken;8;100;24;24;0;8;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-23T00:00+01:00;2022-01-24T00:00+01:00;23.01.2022;Totalt i retning Vervarslinga i Nord-Norge;28;100;24;24;0;28;0;-;-;-;-;-;-;-;-
34219B1109528;Prestvannet Sykkel;KV21200 S1D1 m644;2022-01-23T00:00+01:00;2022-01-24T00:00+01:00;23.01.2022;Totalt;36;100;24;24;0;36;0;-;-;-;-;-;-;-;-
